FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
BlogEngine.Core.Web.Extensions.GenericHelper<T>,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\ManagedExtension.cs,337,1,8
BlogEngine.Core.Data.DashboardRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\DashboardRepository.cs,24,1,8
BlogEngine.NET.AppCode.Api.UnauthorizedAccessExceptionFilterAttribute,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\UnauthorizedAccessExceptionFilterAttribute.cs,18,1,8
BlogEngine.Core.Providers.BlogFileSystemProviderSection,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Providers\FileSystemProviders\BlogFileSystemProviderSection.cs,45,2,8
BlogEngine.Core.Data.Models.Group,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Security.cs,71,3,8
BlogEngine.Core.FileSystem.FileInstance,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\Common.cs,77,4,8
BlogEngine.Core.Providers.BlogProviderSection,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Providers\BlogProviderSection.cs,69,4,8
BlogEngine.Core.Data.Models.Blog,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Blog.cs,87,4,8
BlogEngine.Core.Data.Models.Settings,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Settings.cs,181,4,8
BlogEngine.Core.DataStore.SettingsBase,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\SettingsBase.cs,69,8,8
BlogEngine.Core.BlogRollItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogRollItem.cs,84,9,8
BlogEngine.Core.Compilation.SessionExpressionBuilder,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\SessionExpressionBuilder.cs,68,0,9
BlogEngine.NET.FrontPage,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\FrontPageExample.aspx.cs,13,0,9
BlogEngine.Core.Pager,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\Pager.cs,122,1,9
BlogEngine.Core.Web.Controls.CommentFormBase,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\CommentFormBase.cs,16,1,9
BlogEngine.Core.Compilation.Design.ServerVariableExpressionEditor,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\ServerVariableExpressionEditor.cs,354,1,9
BlogEngine.Core.Data.Models.CustomFilter,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CustomFilter.cs,60,2,9
BlogEngine.Core.Data.Models.BlogUser,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\BlogUser.cs,40,3,9
BlogEngine.Core.Data.Models.PageDetail,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PageDetail.cs,84,4,9
